track_name,artists,cover_url
dama do baralho ao vivo,diego & victor hugo,https://i.scdn.co/image/ab67616d0000b273368f8daab35d87c42af43961
call me,beat oven,https://i.scdn.co/image/ab67616d0000b2731aa206aec2a3ca8b59e49844
who,jimin,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec
la plena (w sound 05),w sound,https://i.scdn.co/image/ab67616d0000b2734740100d84f3667f1eae6870
gnossienne no. 1,erik satie,https://i.scdn.co/image/ab67616d0000b27320ca462b07614b2ad0d416b0
god only knows,imaginary future,https://i.scdn.co/image/ab67616d0000b273c304bd2b20eed157b77fe609
proibido terminar ao vivo,gusttavo lima,https://i.scdn.co/image/ab67616d0000b2736c64528088e6d2bce24c1bc3
sinking,idlefon,https://i.scdn.co/image/ab67616d0000b2735baa1f265c79c5440d08f540
2002 - acoustic,amber leigh irish,https://i.scdn.co/image/ab67616d0000b273eceeed81d921fb35e8b82897
sweet dreams (are made of this) - remastered,eurythmics,https://i.scdn.co/image/ab67616d0000b273e20cbe67370b83997df216be
哀と悲,musashi project,https://i.scdn.co/image/ab67616d0000b2736d1c1a631e1b46ccc32eaee2
wrong floor,cliff martinez,https://i.scdn.co/image/ab67616d0000b2732c8ba8e2fbf531bbb9cd1a48
watermelon sugar,harry styles,https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a
planet zero,shinedown,https://i.scdn.co/image/ab67616d0000b27343e8a35289397f6010638c3c
mundo de ilusões - ao vivo,gusttavo lima,https://i.scdn.co/image/ab67616d0000b273fcc0055f086197e267c9017a
what a time to be alive,matt pless,https://i.scdn.co/image/ab67616d0000b2736e43ff963abdc90812bc61c4
big dawgs,hanumankind,https://i.scdn.co/image/ab67616d0000b273d9afe5c70c43cb2bd34605ea
low of solipsism,yoshihisa hirano,https://i.scdn.co/image/ab67616d0000b273d4cafdffd73a6d7bdb4a1439
"nocturne no. 19 in e minor, op. 72, no. 1",frédéric chopin,https://i.scdn.co/image/ab67616d0000b273c1490e59791bf75b763f567f
chop suey!,system of a down,https://i.scdn.co/image/ab67616d0000b27307bc7d2a745636c356b4d0aa
poema bobo - ao vivo,juan marcus & vinícius,https://i.scdn.co/image/ab67616d0000b2735ff926085a1bfac5354f26d9
sunset driver,vanilla beach,https://i.scdn.co/image/ab67616d0000b27362f3915e4722543b18ce0a07
obsession - extended mix,consoul trainin,https://i.scdn.co/image/ab67616d0000b273be30537c4508d5844022265a
you & me (the wildfire),aron wright,https://i.scdn.co/image/ab67616d0000b273d32480f470ad44468a440164
bunny girl,km,https://i.scdn.co/image/ab67616d0000b2738316f30e422e4648c9908461
vida vazia,bruno & marrone,https://i.scdn.co/image/ab67616d0000b2739ce10bf887848831c83ec215
back to you,the mayries,https://i.scdn.co/image/ab67616d0000b27397c8822353950050ea099496
sinking fatigue,raimu,https://i.scdn.co/image/ab67616d0000b273fe04e4e506a625d6e3661af9
deus forte,kleber lucas,https://i.scdn.co/image/ab67616d0000b2734e86088a1db4ccd12a25cbaf
"carnaval, op. 9: no. 12, chopin (live in japan, 2022)",robert schumann,https://i.scdn.co/image/ab67616d0000b273ba9fcafe467c35053505f51f
"andante in c major, k. 1a",wolfgang amadeus mozart,https://i.scdn.co/image/ab67616d0000b2732fd91a182ca505014f1f1c81
the carnival,aazar,https://i.scdn.co/image/ab67616d0000b2739e4c5853d2da8d946672aa21
no direction,rachael yamagata,https://i.scdn.co/image/ab67616d0000b27315c8ed0db57fb7aa6f78d724
voz sem violão,murilo huff,https://i.scdn.co/image/ab67616d0000b273f780a237b116b5decb468d75
出陣,yasuharu takanashi,https://i.scdn.co/image/ab67616d0000b273d911e43123678e12f4eb2823
saudade proibida (ao vivo),simone mendes,https://i.scdn.co/image/ab67616d0000b273dee23f5771e3d55c5f41278c
baila conmigo,sayba music,https://i.scdn.co/image/ab67616d0000b27377c754d605833d24b42f9319
fairy tail main theme - slow ver.,yasuharu takanashi,https://i.scdn.co/image/ab67616d0000b27368a3dfc0653c907a58f39d7a
zombie,the cranberries,https://i.scdn.co/image/ab67616d0000b27372d481a5999197ef5f42f796
puta é só um detalhe,dj douglinhas,https://i.scdn.co/image/ab67616d0000b27300359d35adf38dc522bae45e
give it to me,lucky luke,https://i.scdn.co/image/ab67616d0000b273cea659065648a8bf62d17650
stand by me,boyce avenue,https://i.scdn.co/image/ab67616d0000b273c2967bf838c6ea5ea77a3701
d-tecnolife,uverworld,https://i.scdn.co/image/ab67616d0000b27363b4a7fccfab5629756a1f9b
entregador de flor (ao vivo em brasília),diego & victor hugo,https://i.scdn.co/image/ab67616d0000b273deb164b57dd85d716ba3f252
pop virus,gen hoshino,https://i.scdn.co/image/ab67616d0000b27302a856097c809fb56c23cfb2
at least i had fun,martin jensen,https://i.scdn.co/image/ab67616d0000b273fb391d6588890185afd3435b
deixa ela saber - ao vivo,henrique & juliano,https://i.scdn.co/image/ab67616d0000b273c79f6f2db193985985b57dfc
believer,imagine dragons,https://i.scdn.co/image/ab67616d0000b2735675e83f707f1d7271e5cf8a
p do pecado (ao vivo),grupo menos é mais,https://i.scdn.co/image/ab67616d0000b2733eb9bb75e0b5472777ba0291
win some,leya,https://i.scdn.co/image/ab67616d0000b273eaa4b11f60974c0d59d857c0
eai! como cê tá?,mc ryan sp,https://i.scdn.co/image/ab67616d0000b2732f4c9bf292d33d0d8ba0e151
never giving in (ichigo rap),rustage,https://i.scdn.co/image/ab67616d0000b27330b9b569ffc7a9925e3615c5
call me,gabrielle aplin,https://i.scdn.co/image/ab67616d0000b273e4735ef76aef0299ad868764
the happiest days of our lives,pink floyd,https://i.scdn.co/image/ab67616d0000b2735d48e2f56d691f9a4e4b0bdf
non serviam,frank turner,https://i.scdn.co/image/ab67616d0000b273468e5342609ab87ce9cf319e
tocando em frente,eduardo costa,https://i.scdn.co/image/ab67616d0000b2732a008d79c9787dcc337be652
infinity - pretty young remix,jaymes young,https://i.scdn.co/image/ab67616d0000b2738b8b09361b491719b2d8b92b
bad habits,ed sheeran,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2
"nine variations in d, k.573 on a minuet by j.p. duport: 7a. variation vi - pt. 1",wolfgang amadeus mozart,https://i.scdn.co/image/ab67616d0000b2733d9efd16e0bcbd84285399a5
"préludes / book 1, l. 117: 8. la fille aux cheveux de lin",claude debussy,https://i.scdn.co/image/ab67616d0000b2730c425c9d96fa6f4342a248e0
a última,mc kevin,https://i.scdn.co/image/ab67616d0000b2732b2ca9932202420913894efd
die with a smile,lady gaga,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45
show,jaksi taksi,https://i.scdn.co/image/ab67616d0000b273e93dc3bbc4e413bfb9ee3a38
day one,hans zimmer,https://i.scdn.co/image/ab67616d0000b273ac29a65e7ffcfa6f9cb0d342
dona,luan santana,https://i.scdn.co/image/ab67616d0000b273a5a67085591d0a13f5e54ec6
trouble sleeping,the perishers,https://i.scdn.co/image/ab67616d0000b273d818c8a43c1571ea5187bc2e
i want it all - remastered 2011,queen,https://i.scdn.co/image/ab67616d0000b27327fda1adf296f242416b4230
i choose you,sara bareilles,https://i.scdn.co/image/ab67616d0000b273022b4010e20659300f42c375
